Temática,Prompt Español,Prompt Inglés,Dificultad
Números2026,"Dibujo de los números ""2026"" decorados con globos, confeti y elementos festivos para colorear solo contornos, celebrando el primer día del año","Outline drawing of the numbers ""2026"" decorated with balloons, confetti and festive elements to color, celebrating the first day of the year",Medio
PaisajeNevado,Dibujo de un paisaje nevado con colinas y árboles para colorear solo contornos,Outline drawing of a snowy landscape with hills and trees to color,Fácil
CoposNieve,Dibujo de copos de nieve de distintos tamaños para colorear solo contornos,Outline drawing of snowflakes of different sizes to color,Fácil
MuñecoNieve,Dibujo de un muñeco de nieve con bufanda y gorro para colorear solo contornos,Outline drawing of a snowman with scarf and hat to color,Medio
MandalaNaturaleza,"Dibujo de mandala con flores, hojas y ramas para colorear solo contornos","Outline drawing of a mandala with flowers, leaves and branches to color",Fácil
ReyesMagos,Dibujo de los Reyes Magos con camellos y regalos caminando por el desierto para colorear solo contornos (5 de enero),Outline drawing of the Three Wise Men with camels and gifts walking through the desert to color (January 5th),Difícil
CasaInvierno,Dibujo de una casa con humo saliendo de la chimenea y árboles para colorear solo contornos,Outline drawing of a house with smoke coming from the chimney and trees to color,Medio
AmigosTé,Dibujo de amigos tomando té y galletas en una sala acogedora para colorear solo contornos,Outline drawing of friends having tea and cookies in a cozy living room to color,Fácil
PatioNevado,Dibujo de un patio con nieve y niños jugando para colorear solo contornos,Outline drawing of a snowy yard with children playing to color,Medio
MandalaAnimales,Dibujo de mandala con animales del bosque y hojas para colorear solo contornos,Outline drawing of a mandala with forest animals and leaves to color,Difícil
Biblioteca,Dibujo de una biblioteca con estanterías y libros abiertos para colorear solo contornos,Outline drawing of a library with bookshelves and open books to color,Medio
LagoInvierno,Dibujo de un lago parcialmente congelado con patinadores para colorear solo contornos,Outline drawing of a partially frozen lake with skaters to color,Medio
Cocina,Dibujo de una cocina rústica con utensilios y comida sobre la mesa para colorear solo contornos,Outline drawing of a rustic kitchen with utensils and food on the table to color,Medio
CaféAmigos,Dibujo de amigos charlando y tomando café en un café acogedor para colorear solo contornos,Outline drawing of friends chatting and having coffee in a cozy cafe to color,Fácil
Esquí,Dibujo de un esquiador descendiendo por la montaña con árboles alrededor para colorear solo contornos,Outline drawing of a skier going down the mountain with trees around to color,Difícil
MandalaFloral,Dibujo de mandala con flores y hojas para colorear solo contornos,Outline drawing of a mandala with flowers and leaves to color,Medio
SalaEstar,"Dibujo de una sala de estar con sofá, lámpara y alfombra para colorear solo contornos","Outline drawing of a living room with sofa, lamp and rug to color",Fácil
AnimalesBosque,Dibujo de zorros y conejos en un bosque para colorear solo contornos,Outline drawing of foxes and rabbits in a forest to color,Medio
TéCaliente,Dibujo de una taza de té caliente con crema y malvaviscos para colorear solo contornos,Outline drawing of a cup of hot tea with cream and marshmallows to color,Fácil
Patinaje,Dibujo de niños patinando sobre un lago congelado para colorear solo contornos,Outline drawing of children ice skating on a frozen lake to color,Medio
MandalaInvierno,Dibujo de mandala con copos de nieve y formas geométricas para colorear solo contornos,Outline drawing of a mandala with snowflakes and geometric shapes to color,Fácil
Chimenea,Dibujo de chimenea encendida con calcetines colgados para colorear solo contornos,Outline drawing of a fireplace with stockings hanging to color,Medio
Ciervo,Dibujo de un ciervo en un claro del bosque para colorear solo contornos,Outline drawing of a deer in a forest clearing to color,Medio
JardínInvierno,Dibujo de un jardín con arbustos y senderos cubiertos de nieve para colorear solo contornos,Outline drawing of a garden with bushes and paths covered in snow to color,Medio
AmigosJuego,Dibujo de niños jugando a juegos de mesa en casa para colorear solo contornos,Outline drawing of children playing board games at home to color,Fácil
ChocolateCaliente,Dibujo de taza de chocolate con crema y galletas para colorear solo contornos,Outline drawing of a cup of hot chocolate with cream and cookies to color,Fácil
MandalaNaturaleza2,"Dibujo de mandala con árboles, hojas y flores para colorear solo contornos","Outline drawing of a mandala with trees, leaves and flowers to color",Medio
CalendarioEnero,Dibujo de calendario de enero con días señalados para colorear solo contornos,Outline drawing of a January calendar with highlighted days to color,Medio
NieveJugando,Dibujo de niños haciendo ángeles y bolas de nieve para colorear solo contornos,Outline drawing of children making snow angels and snowballs to color,Fácil
FuegosInvierno,Dibujo de fuegos artificiales sobre un paisaje nevado para colorear solo contornos,Outline drawing of fireworks over a snowy landscape to color,
DesayunoCozy,"Dibujo de una mesa de desayuno acogedora con pan, té y frutas para colorear solo contornos","Outline drawing of a cozy breakfast table with bread, tea, and fruits to color",Fácil
Perrito,Dibujo de un perrito dormido en una manta suave para colorear solo contornos,Outline drawing of a puppy sleeping on a soft blanket to color,Fácil
Gatito,Dibujo de un gatito jugando con ovillos de lana para colorear solo contornos,Outline drawing of a kitten playing with balls of yarn to color,Fácil
Lectura,Dibujo de una persona leyendo en un sillón con manta y taza de té para colorear solo contornos,Outline drawing of a person reading in an armchair with a blanket and cup of tea to color,Medio
PicnicInvierno,Dibujo de un picnic acogedor en un jardín con mantas y comida para colorear solo contornos,Outline drawing of a cozy picnic in a garden with blankets and food to color,Medio
MandalaFlores,Dibujo de mandala con flores suaves y hojas para colorear solo contornos,Outline drawing of a mandala with gentle flowers and leaves to color,Fácil
PerritosAmigos,Dibujo de dos perritos jugando juntos en el jardín para colorear solo contornos,Outline drawing of two puppies playing together in the garden to color,Fácil
CasaAcogedora,Dibujo de una casa acogedora con chimenea y luces suaves para colorear solo contornos,Outline drawing of a cozy house with fireplace and soft lights to color,Medio
TéTarde,Dibujo de taza de té caliente con galletas y libro sobre la mesa para colorear solo contornos,Outline drawing of a cup of hot tea with cookies and a book on the table to color,Fácil
CorazónValentín,"Dibujo de corazón decorativo con flores y globos, para celebrar el día de San Valentín para colorear solo contornos (14 de febrero)","Outline drawing of a decorative heart with flowers and balloons, celebrating Valentine’s Day to color (February 14th)",Medio
PerritoDormilón,Dibujo de un perrito acurrucado en una cama mullida para colorear solo contornos,Outline drawing of a puppy curled up on a fluffy bed to color,Fácil
GatoTaza,Dibujo de un gatito dentro de una taza de té grande para colorear solo contornos,Outline drawing of a kitten inside a big tea cup to color,Fácil
Hojas,Dibujo de hojas suaves cayendo alrededor de un banco con manta para colorear solo contornos,Outline drawing of gentle leaves falling around a bench with a blanket to color,Medio
Estudio,"Dibujo de un escritorio ordenado con libros, lámpara y tazas para colorear solo contornos","Outline drawing of a tidy desk with books, lamp and cups to color",Medio
LecturaNiño,Dibujo de un niño leyendo junto a la ventana con mantita para colorear solo contornos,Outline drawing of a child reading by the window with a blanket to color,Fácil
MandalaCorazón,Dibujo de mandala con corazones y flores para colorear solo contornos,Outline drawing of a mandala with hearts and flowers to color,Medio
AmigosChoc,Dibujo de amigos compartiendo chocolate caliente en un sofá para colorear solo contornos,Outline drawing of friends sharing hot chocolate on a sofa to color,Fácil
PerritoInvierno,Dibujo de un perrito con bufanda jugando en la nieve para colorear solo contornos,Outline drawing of a puppy with a scarf playing in the snow to color,Medio
GatitoSueño,Dibujo de un gatito dormido sobre cojines suaves para colorear solo contornos,Outline drawing of a kitten sleeping on soft cushions to color,Fácil
ChocolateTaza,Dibujo de taza de chocolate con crema y malvaviscos sobre mesa de madera para colorear solo contornos,Outline drawing of a cup of hot chocolate with cream and marshmallows on a wooden table to color,Fácil
MandalaSuave,Dibujo de mandala con patrones suaves de hojas y flores para colorear solo contornos,Outline drawing of a mandala with soft patterns of leaves and flowers to color,Fácil
SillónAcogedor,"Dibujo de un sillón cómodo con manta, cojín y libro para colorear solo contornos","Outline drawing of a comfortable armchair with blanket, pillow and book to color",Medio
PerritoAmigos,Dibujo de varios perritos jugando juntos en un jardín con flores para colorear solo contornos,Outline drawing of several puppies playing together in a garden with flowers to color,Fácil
GatoVentana,Dibujo de un gatito mirando por la ventana con plantas alrededor para colorear solo contornos,Outline drawing of a kitten looking through a window with plants around to color,Fácil
TéCálido,Dibujo de taza de té con galletas y un libro abierto para colorear solo contornos,Outline drawing of a cup of tea with cookies and an open book to color,Fácil
AmigosMerienda,Dibujo de amigos compartiendo merienda con pasteles y jugo para colorear solo contornos,Outline drawing of friends sharing a snack with cakes and juice to color,Fácil
MandalaAnimales,Dibujo de mandala con animales adorables y flores para colorear solo contornos,Outline drawing of a mandala with cute animals and flowers to color,Medio
Estudio creativo,Dibujo de mesa con material de arte y dibujos en proceso para colorear solo contornos,Outline drawing of a creative desk with art supplies and drawings in progress to color,Medio
DesayunoCozy,"Mesa de desayuno con pan, té, frutas y galletas para colorear solo contornos","Outline drawing of a breakfast table with bread, tea, fruits and cookies to color",Fácil
MandalaFlores,Mandala con flores y hojas delicadas para colorear solo contornos,Outline drawing of a mandala with delicate flowers and leaves to color,Medio
Unicornio,Unicornio corriendo en pradera con flores y mariposas para colorear solo contornos,Outline drawing of a unicorn running in a meadow with flowers and butterflies to color,Medio
CaféAmigos,Amigos compartiendo café y pasteles en café acogedor para colorear solo contornos,Outline drawing of friends sharing coffee and pastries in a cozy café to color,Fácil
DinosaurioAmigable,Dinosaurio pequeño y adorable con flores y arbustos para colorear solo contornos,Outline drawing of a cute small dinosaur with flowers and bushes to color,Medio
TejidoCozy,Persona tejiendo un jersey con lana y agujas en sillón acogedor para colorear solo contornos,Outline drawing of a person knitting a sweater with yarn and needles in a cozy armchair to color,Medio
PatioCozy,"Patio con bancos, plantas y mantas para colorear solo contornos","Outline drawing of a cozy patio with benches, plants and blankets to color",Medio
MandalaAnimales,Mandala con animales adorables y hojas para colorear solo contornos,Outline drawing of a mandala with cute animals and leaves to color,Medio
PicnicInterior,"Picnic en suelo de habitación con mantas, cojines y comida para colorear solo contornos","Outline drawing of an indoor picnic with blankets, cushions and food to color",Medio
StPatrick,"Tréboles, sombrero y monedas de oro para St. Patrick’s Day (17 de marzo) para colorear solo contornos","Outline drawing of shamrocks, hat, and gold coins to celebrate St. Patrick’s Day to color (March 17th)",Medio
Cohete,Cohete despegando al espacio con planetas y estrellas para colorear solo contornos,Outline drawing of a rocket launching into space with planets and stars to color,Medio
Astronauta,Astronauta flotando entre planetas y estrellas para colorear solo contornos,Outline drawing of an astronaut floating among planets and stars to color,Medio
DragónPequeño,Dragón amistoso entre flores y arbustos para colorear solo contornos,Outline drawing of a friendly little dragon among flowers and bushes to color,Medio
VentanaCozy,Ventana con plantas y luz suave entrando para colorear solo contornos,Outline drawing of a window with plants and soft light coming in to color,Medio
TéConLibro,Taza de té sobre mesa con libro abierto y galletas para colorear solo contornos,Outline drawing of a cup of tea on a table with open book and cookies to color,Fácil
MandalaEspacio,"Mandala con planetas, estrellas y constelaciones para colorear solo contornos","Outline drawing of a mandala with planets, stars and constellations to color",Fácil
Horno,Persona horneando galletas y pasteles en cocina acogedora para colorear solo contornos,Outline drawing of a person baking cookies and cakes in a cozy kitchen to color,Medio
DinosaurioBosque,Dinosaurio explorando bosque con flores y arbustos para colorear solo contornos,Outline drawing of a dinosaur exploring a forest with flowers and bushes to color,Medio
MandalaPrimavera,Mandala con flores y mariposas para colorear solo contornos,Outline drawing of a mandala with flowers and butterflies to color,Fácil
JardínPrimavera,"Jardín con flores, senderos y bancos para colorear solo contornos","Outline drawing of a garden with flowers, paths and benches to color",Medio
ConejoFantástico,Conejo con alas y flores alrededor para colorear solo contornos,Outline drawing of a rabbit with wings and flowers around to color,Medio
BibliotecaPrimavera,Biblioteca con ventanas abiertas y plantas alrededor para colorear solo contornos,Outline drawing of a library with open windows and plants around to color,Medio
UnicornioBosque,Unicornio en bosque con árboles y flores para colorear solo contornos,Outline drawing of a unicorn in a forest with trees and flowers to color,Medio
RincónTé,"Rincón acogedor con sillón, manta, mesa con té y galletas para colorear solo contornos","Outline drawing of a cozy corner with armchair, blanket, table with tea and cookies to color",Fácil
AmigosPrimavera,Amigos sentados en jardín charlando y tomando limonada para colorear solo contornos,Outline drawing of friends sitting in a garden chatting and having lemonade to color,Fácil
MandalaAnimalesFantásticos,Mandala con criaturas mitológicas y flores para colorear solo contornos,Outline drawing of a mandala with mythical creatures and flowers to color,Medio
CoheteEspacio,Cohete con astronautas flotando y planetas alrededor para colorear solo contornos,Outline drawing of a rocket with astronauts floating and planets around to color,Medio
PicnicPrimavera,"Picnic en césped con mantas, cesta y comida para colorear solo contornos","Outline drawing of a picnic on the grass with blankets, basket and food to color",Fácil
JardínFlores,"Jardín con flores variadas, senderos y bancos para colorear solo contornos","Outline drawing of a garden with various flowers, paths and benches to color",Medio
DinosaurioAmistoso,Dinosaurio amistoso jugando con mariposas y flores para colorear solo contornos,Outline drawing of a friendly dinosaur playing with butterflies and flowers to color,Medio
MandalaFloresPrimavera,Mandala con flores y hojas de primavera para colorear solo contornos,Outline drawing of a mandala with spring flowers and leaves to color,Fácil
DesayunoPrimavera,"Mesa de desayuno con pan, frutas, flores y té para colorear solo contornos","Outline drawing of a breakfast table with bread, fruits, flowers and tea to color",Fácil
MandalaFlores,Mandala con flores primaverales y hojas para colorear solo contornos,Outline drawing of a mandala with spring flowers and leaves to color,Difícil
UnicornioBosque,Unicornio caminando en bosque con flores y mariposas para colorear solo contornos,Outline drawing of a unicorn walking in a forest with flowers and butterflies to color,Medio
CaféAmigos,Amigos compartiendo café y pasteles en café acogedor para colorear solo contornos,Outline drawing of friends sharing coffee and pastries in a cozy café to color,Fácil
DragónPequeño,Dragón amistoso explorando jardín con flores para colorear solo contornos,Outline drawing of a friendly small dragon exploring a garden with flowers to color,Medio
TejidoCozy,Persona tejiendo un jersey con lana y agujas en sillón acogedor para colorear solo contornos,Outline drawing of a person knitting a sweater with yarn and needles in a cozy armchair to color,Medio
PicnicInterior,"Picnic en el suelo de una habitación con mantas, cojines y comida para colorear solo contornos","Outline drawing of an indoor picnic with blankets, cushions and food to color",Medio
MandalaAnimales,Mandala con animales adorables y hojas para colorear solo contornos,Outline drawing of a mandala with cute animals and leaves to color,Medio
BibliotecaAcogedora,"Biblioteca con sillón, lámpara y estanterías llenas de libros para colorear solo contornos","Outline drawing of a cozy library with armchair, lamp and bookshelves to color",Medio
Cohete,Cohete despegando al espacio con planetas y estrellas para colorear solo contornos,Outline drawing of a rocket launching into space with planets and stars to color,Medio
Astronauta,Astronauta flotando entre planetas y constelaciones para colorear solo contornos,Outline drawing of an astronaut floating among planets and constellations to color,Medio
Horno,Persona horneando pasteles y galletas en cocina acogedora para colorear solo contornos,Outline drawing of a person baking cakes and cookies in a cozy kitchen to color,Medio
DinosaurioBosque,Dinosaurio explorando bosque con flores y arbustos para colorear solo contornos,Outline drawing of a dinosaur exploring a forest with flowers and bushes to color,Medio
MandalaPrimavera,"Mandala con flores, mariposas y hojas para colorear solo contornos","Outline drawing of a mandala with flowers, butterflies and leaves to color",Fácil
JardínPrimavera,"Jardín con flores, senderos y bancos para colorear solo contornos","Outline drawing of a garden with flowers, paths and benches to color",Medio
ConejoPascua,Conejo con huevos de Pascua y cestas de flores para colorear solo contornos (Easter 5 de abril),Outline drawing of a bunny with Easter eggs and flower baskets to color (Easter April 5th),Medio
HuevosDecorados,Huevos de Pascua decorativos con patrones y flores para colorear solo contornos,Outline drawing of decorative Easter eggs with patterns and flowers to color,Medio
MandalaHuevos,"Mandala con huevos de Pascua, flores y detalles primaverales para colorear solo contornos","Outline drawing of a mandala with Easter eggs, flowers and spring details to color",Fácil
BibliotecaPrimavera,Biblioteca con ventanas abiertas y plantas alrededor para colorear solo contornos,Outline drawing of a library with open windows and plants around to color,Medio
PicnicPrimavera,"Picnic en césped con mantas, cesta y comida para colorear solo contornos","Outline drawing of a picnic on grass with blankets, basket and food to color",Fácil
GenteTejiendo,Personas sentadas en círculo tejiendo y charlando para colorear solo contornos,Outline drawing of people sitting in a circle knitting and chatting to color,Medio
MandalaAnimalesFantásticos,"Mandala con criaturas fantásticas, flores y hojas para colorear solo contornos","Outline drawing of a mandala with mythical creatures, flowers and leaves to color",Medio
TerrazaAcogedora,"Terraza con plantas, luces y sillones para colorear solo contornos","Outline drawing of a terrace with plants, lights and armchairs to color",Medio
DragónJardín,Dragón pequeño jugando entre flores y arbustos para colorear solo contornos,Outline drawing of a small dragon playing among flowers and bushes to color,Medio
MandalaEspacio,"Mandala con planetas, estrellas y constelaciones para colorear solo contornos","Outline drawing of a mandala with planets, stars and constellations to color",Medio
AmigosPrimavera,Amigos sentados en jardín charlando y tomando limonada para colorear solo contornos,Outline drawing of friends sitting in a garden chatting and having lemonade to color,Fácil
JardínFlores,"Jardín con flores variadas, senderos y bancos para colorear solo contornos","Outline drawing of a garden with various flowers, paths and benches to color",Medio
DinosaurioAmistoso,Dinosaurio amistoso jugando con mariposas y flores para colorear solo contornos,Outline drawing of a friendly dinosaur playing with butterflies and flowers to color,Medio
DíaTierra,Escena con niños plantando árboles y cuidando jardín para colorear solo contornos (Día de la Tierra 22 de abril),Outline drawing of children planting trees and taking care of a garden to color (Earth Day April 22nd),Medio
MandalaFloresPrimavera,Mandala con flores y hojas de primavera para colorear solo contornos,Outline drawing of a mandala with spring flowers and leaves to color,Fácil
DesayunoMontaña,Mesa de desayuno en cabaña con vista a montaña para colorear solo contornos,Outline drawing of a breakfast table in a cabin with mountain view to color,Fácil
MandalaGeometrico,Mandala con patrones geométricos y detalles arquitectónicos para colorear solo contornos,Outline drawing of a mandala with geometric patterns and architectural details to color,Medio
Castillo,Castillo medieval con torre y puente levadizo para colorear solo contornos,Outline drawing of a medieval castle with tower and drawbridge to color,Medio
GloboAerostático,Persona en globo aerostático sobre paisaje de colinas para colorear solo contornos,Outline drawing of a person in a hot air balloon over hilly landscape to color,Medio
Faro,Faro en acantilado con olas rompiendo para colorear solo contornos,Outline drawing of a lighthouse on a cliff with waves crashing to color,Medio
CincoDeMayo,"Sombrero, piñata y tacos para celebrar Cinco de Mayo para colorear solo contornos (5 de mayo)","Outline drawing of a sombrero, piñata and tacos to celebrate Cinco de Mayo to color (May 5th)",Fácil
MandalaMontaña,"Mandala con montañas, ríos y árboles para colorear solo contornos","Outline drawing of a mandala with mountains, rivers and trees to color",Fácil
PuebloMedieval,Pueblo medieval con casas de piedra y tejados a dos aguas para colorear solo contornos,Outline drawing of a medieval village with stone houses and gabled roofs to color,Medio
TrenMontaña,Tren antiguo recorriendo montaña con puentes para colorear solo contornos,Outline drawing of an old train traveling through mountains with bridges to color,Medio
BibliotecaGigante,Biblioteca con estanterías altas y escaleras para colorear solo contornos,Outline drawing of a library with tall shelves and ladders to color,Medio
MandalaEstrellas,"Mandala con estrellas, planetas y constelaciones para colorear solo contornos","Outline drawing of a mandala with stars, planets and constellations to color",Medio
Observatorio,Observatorio con telescopio y cielo estrellado para colorear solo contornos,Outline drawing of an observatory with telescope and starry sky to color,Medio
PuenteRío,Puente antiguo sobre río con árboles alrededor para colorear solo contornos,Outline drawing of an old bridge over a river with trees around to color,Medio
DíaMadre,"Regalos, flores y tarjetas para celebrar el Día de la Madre para colorear solo contornos (10 de mayo)","Outline drawing of gifts, flowers and cards to celebrate Mother’s Day to color (May 10th)",Fácil
MandalaCastillo,"Mandala con torres, almenas y jardines para colorear solo contornos","Outline drawing of a mandala with towers, battlements and gardens to color",Medio
JardínSecreto,"Jardín con senderos, fuentes y flores para colorear solo contornos","Outline drawing of a garden with paths, fountains and flowers to color",Medio
Carrusel,Carrusel antiguo con caballos y luces para colorear solo contornos,Outline drawing of an old carousel with horses and lights to color,Medio
PuestaSol,Paisaje de colinas al atardecer con árboles y nubes para colorear solo contornos,Outline drawing of hills at sunset with trees and clouds to color,Medio
MandalaNaturaleza,"Mandala con árboles, flores y animales del bosque para colorear solo contornos","Outline drawing of a mandala with trees, flowers and forest animals to color",Medio
PlayaRocas,"Playa con acantilados, olas y rocas para colorear solo contornos","Outline drawing of a beach with cliffs, waves and rocks to color",Medio
Glaciar,Paisaje de glaciar con montañas y cielo nublado para colorear solo contornos,Outline drawing of a glacier landscape with mountains and cloudy sky to color,Medio
PuenteColgante,Puente colgante sobre río con vegetación para colorear solo contornos,Outline drawing of a suspension bridge over river with vegetation to color,Medio
Mercadillo,"Mercadillo con puestos, frutas, flores y faroles para colorear solo contornos","Outline drawing of a market with stalls, fruits, flowers and lanterns to color",Medio
MandalaArquitectura,"Mandala con formas de edificios, torres y ventanas para colorear solo contornos","Outline drawing of a mandala with building shapes, towers and windows to color",Fácil
FaroNoche,Faro iluminando el mar y el cielo estrellado para colorear solo contornos,Outline drawing of a lighthouse lighting the sea and starry sky to color,Medio
CastilloColina,Castillo sobre colina con murallas y árboles alrededor para colorear solo contornos,Outline drawing of a castle on a hill with walls and trees around to color,Medio
TrenPuente,Tren antiguo cruzando puente sobre río con montañas para colorear solo contornos,Outline drawing of an old train crossing a bridge over a river with mountains to color,Medio
MontañaRío,"Paisaje de montaña con río, árboles y sendero para colorear solo contornos","Outline drawing of a mountain landscape with river, trees and path to color",Medio
JardínFaroles,"Jardín nocturno con faroles, flores y senderos para colorear solo contornos","Outline drawing of a night garden with lanterns, flowers and paths to color",Medio
MandalaFiesta,Mandala con elementos de festividades y decoraciones para colorear solo contornos,Outline drawing of a mandala with festival elements and decorations to color,Medio
BibliotecaCastillo,Biblioteca dentro de castillo con estanterías y escalera en espiral para colorear solo contornos,Outline drawing of a library inside a castle with shelves and spiral staircase to color,Medio
DesayunoVerano,"Mesa de desayuno con frutas, zumos y sombrero de paja para colorear solo contornos","Outline drawing of a breakfast table with fruits, juices and straw hat to color",Fácil
MandalaVerano,"Mandala con soles, olas, flores y frutas para colorear solo contornos","Outline drawing of a mandala with suns, waves, flowers and fruits to color",Medio
Playa,"Escena de playa con sombrillas, toallas y conchas para colorear solo contornos","Outline drawing of a beach scene with umbrellas, towels and shells to color",Medio
PicnicParque,Amigos haciendo picnic en parque con manta y frutas para colorear solo contornos,Outline drawing of friends having a picnic in a park with blanket and fruits to color,Fácil
CarruselFeria,"Carrusel con caballos, luces y globos para colorear solo contornos","Outline drawing of a carousel with horses, lights and balloons to color",Medio
AlgodónAzúcar,Puesto de algodón de azúcar con niños felices para colorear solo contornos,Outline drawing of a cotton candy stand with happy children to color,Medio
MandalaFrutas,"Mandala con frutas veraniegas, hojas y flores para colorear solo contornos","Outline drawing of a mandala with summer fruits, leaves and flowers to color",Fácil
CastilloVerano,"Castillo con jardines, fuentes y mariposas para colorear solo contornos","Outline drawing of a castle with gardens, fountains and butterflies to color",Medio
SombreroSol,Persona con sombrero de paja caminando por sendero soleado para colorear solo contornos,Outline drawing of a person wearing straw hat walking on sunny path to color,Fácil
Helados,Niños comiendo helados en verano para colorear solo contornos,Outline drawing of children eating ice creams in summer to color,Fácil
MandalaOlas,"Mandala con olas, peces y estrellas de mar para colorear solo contornos","Outline drawing of a mandala with waves, fish and starfish to color",Difícil
Piscina,Niños jugando en piscina con flotadores y pelotas para colorear solo contornos,Outline drawing of children playing in a pool with floaties and balls to color,Medio
LecturaExterior,Persona leyendo en hamaca con sombrero y flores alrededor para colorear solo contornos,Outline drawing of a person reading in a hammock with hat and flowers around to color,Fácil
ParqueVerano,"Parque con bancos, flores, caminos y niños jugando para colorear solo contornos","Outline drawing of a park with benches, flowers, paths and children playing to color",Medio
MandalaAnimalesVerano,"Mandala con pájaros, mariposas y flores para colorear solo contornos","Outline drawing of a mandala with birds, butterflies and flowers to color",Medio
GlaciarVerano,Paisaje de montaña con glaciar y lago para colorear solo contornos,Outline drawing of a mountain landscape with glacier and lake to color,Medio
FarolaFeria,"Puesto de feria con farolas, globos y niños jugando para colorear solo contornos","Outline drawing of a fair stand with lanterns, balloons and children playing to color",Medio
TrenVerano,Tren recorriendo colinas y campos soleados para colorear solo contornos,Outline drawing of a train traveling through hills and sunny fields to color,Medio
MandalaCastillo,"Mandala con castillo, torres y jardines para colorear solo contornos","Outline drawing of a mandala with castle, towers and gardens to color",Medio
BicicletaVerano,Persona paseando en bicicleta por sendero con flores para colorear solo contornos,Outline drawing of a person riding a bike on a path with flowers to color,Fácil
Atardecer,Paisaje de playa al atardecer con olas y palmeras para colorear solo contornos,Outline drawing of a beach at sunset with waves and palm trees to color,Medio
GenteTejiendo,Amigos tejiendo mantas en jardín soleado para colorear solo contornos,Outline drawing of friends knitting blankets in sunny garden to color,Medio
MandalaSoles,"Mandala con soles, nubes y rayos para colorear solo contornos","Outline drawing of a mandala with suns, clouds and rays to color",Medio
PicnicPlaya,"Picnic en arena con sombrillas, frutas y bebida para colorear solo contornos","Outline drawing of a picnic on sand with umbrellas, fruits and drinks to color",Fácil
BibliotecaVerano,"Biblioteca al aire libre con libros, sillones y plantas para colorear solo contornos","Outline drawing of an outdoor library with books, armchairs and plants to color",Medio
CastilloFeria,Castillo con feria de luces y carruseles alrededor para colorear solo contornos,Outline drawing of a castle with lights and carousel fair around to color,Medio
MandalaMariposas,"Mandala con mariposas, flores y hojas veraniegas para colorear solo contornos","Outline drawing of a mandala with butterflies, flowers and summer leaves to color",Difícil
AtardecerMontaña,Paisaje de montaña con sol poniente y sendero para colorear solo contornos,Outline drawing of a mountain landscape with setting sun and path to color,Medio
DíaPadre,"Regalos, tarjetas y figuras paternas para celebrar Día del Padre (21 de junio) para colorear solo contornos","Outline drawing of gifts, cards and fatherly figures to celebrate Father’s Day to color (June 21st)",Fácil
AmigosVerano,Amigos jugando al aire libre con frisbee y picnic para colorear solo contornos,Outline drawing of friends playing outdoors with frisbee and picnic to color,Fácil
MandalaFrutasVerano,"Mandala con frutas tropicales, hojas y flores para colorear solo contornos","Outline drawing of a mandala with tropical fruits, leaves and flowers to color",Difícil
