Temática,Prompt Español,Prompt Inglés,Dificultad
PlayaRayas,Casas de playa a rayas con sombrillas y arena para colorear solo contornos,Outline drawing of striped beach houses with umbrellas and sand to color,Medio
MandalaVerano,"Mandala con soles, olas, conchas y flores para colorear solo contornos","Outline drawing of a mandala with suns, waves, shells and flowers to color",Difícil
SombreroSol,Persona con sombrero de paja caminando por playa soleada para colorear solo contornos,Outline drawing of a person wearing a straw hat walking on sunny beach to color,Fácil
DíaIndependencia,"Fuegos artificiales, banderas y picnic patriótico para celebrar 4 de julio para colorear solo contornos","Outline drawing of fireworks, flags and patriotic picnic to celebrate July 4th to color",Medio
PicnicVerano,Amigos haciendo picnic en parque soleado con frutas y bebida para colorear solo contornos,Outline drawing of friends having a picnic in sunny park with fruits and drinks to color,Fácil
CastilloArena,Niños construyendo castillo de arena con cubos y palas para colorear solo contornos,Outline drawing of children building a sandcastle with buckets and shovels to color,Medio
Helado,Niños disfrutando de helados veraniegos para colorear solo contornos,Outline drawing of children enjoying summer ice creams to color,Fácil
MandalaOlas,"Mandala con olas, peces y estrellas de mar para colorear solo contornos","Outline drawing of a mandala with waves, fish and starfish to color",Difícil
Barco,Barco navegando en mar con gaviotas y olas para colorear solo contornos,Outline drawing of a boat sailing on the sea with seagulls and waves to color,Medio
GloboViaje,Persona viajando en globo aerostático sobre paisaje veraniego para colorear solo contornos,Outline drawing of a person traveling in a hot air balloon over summer landscape to color,Medio
Feria,"Feria de verano con carrusel, luces y globos para colorear solo contornos","Outline drawing of a summer fair with carousel, lights and balloons to color",Medio
AlgodónAzúcar,Puesto de algodón de azúcar con niños felices para colorear solo contornos,Outline drawing of a cotton candy stand with happy children to color,Fácil
MandalaFrutas,"Mandala con frutas veraniegas, hojas y flores para colorear solo contornos","Outline drawing of a mandala with summer fruits, leaves and flowers to color",Difícil
TrenVerano,Tren recorriendo colinas soleadas y campos floridos para colorear solo contornos,Outline drawing of a train traveling through sunny hills and flower fields to color,Medio
BibliotecaExterior,"Biblioteca al aire libre con libros, sillones y plantas para colorear solo contornos","Outline drawing of an outdoor library with books, armchairs and plants to color",Medio
AtardecerPlaya,Playa con palmeras y sol poniéndose sobre el mar para colorear solo contornos,Outline drawing of a beach with palm trees and sunset over the sea to color,Medio
MandalaCastilloArena,"Mandala con castillos de arena, palas y cubos para colorear solo contornos","Outline drawing of a mandala with sandcastles, shovels and buckets to color",Difícil
JardínVerano,"Jardín con flores, senderos y bancos para colorear solo contornos","Outline drawing of a garden with flowers, paths and benches to color",Medio
Bicicleta,Persona paseando en bicicleta por sendero soleado con flores para colorear solo contornos,Outline drawing of a person riding a bike on sunny path with flowers to color,Fácil
MandalaSoles,"Mandala con soles, nubes y rayos para colorear solo contornos","Outline drawing of a mandala with suns, clouds and rays to color",Difícil
TerrazaVerano,"Terraza con sombrillas, plantas y sillones para colorear solo contornos","Outline drawing of a terrace with umbrellas, plants and armchairs to color",Medio
PicnicPlaya,"Picnic en arena con sombrillas, frutas y bebida para colorear solo contornos","Outline drawing of a picnic on sand with umbrellas, fruits and drinks to color",Fácil
AmigosVerano,Amigos jugando al aire libre con frisbee y pelota para colorear solo contornos,Outline drawing of friends playing outdoors with frisbee and ball to color,Fácil
CastilloVerano,Castillo sobre colina con jardines y mariposas para colorear solo contornos,Outline drawing of a castle on a hill with gardens and butterflies to color,Medio
MandalaMariposas,"Mandala con mariposas, flores y hojas veraniegas para colorear solo contornos","Outline drawing of a mandala with butterflies, flowers and summer leaves to color",Difícil
BarcoVela,Barco de vela navegando en mar con olas y gaviotas para colorear solo contornos,Outline drawing of a sailboat on the sea with waves and seagulls to color,Medio
FarolaPlaya,Farola antigua en paseo marítimo con niños jugando para colorear solo contornos,Outline drawing of an old lamp on boardwalk with children playing to color,Medio
HeladoFeria,Niños comiendo helados en feria con luces y globos para colorear solo contornos,Outline drawing of children eating ice creams at a fair with lights and balloons to color,Fácil
MandalaViaje,"Mandala con mapas, maletas, globos y soles para colorear solo contornos","Outline drawing of a mandala with maps, suitcases, balloons and suns to color",Difícil
PlayaAtardecer,"Playa con conchas, sombrillas y cielo anaranjado al atardecer para colorear solo contornos","Outline drawing of a beach with shells, umbrellas and orange sky at sunset to color",Medio
AmigosPicnic,Amigos compartiendo picnic en jardín con frutas y manta para colorear solo contornos,Outline drawing of friends sharing picnic in garden with fruits and blanket to color,Fácil
PlayaSombrillas,"Playa con sombrillas, toallas y conchas para colorear solo contornos","Outline drawing of a beach with umbrellas, towels and shells to color",Medio
MandalaVerano,"Mandala con soles, olas, conchas y flores para colorear solo contornos","Outline drawing of a mandala with suns, waves, shells and flowers to color",Difícil
CastilloArena,Niños construyendo castillos de arena con cubos y palas para colorear solo contornos,Outline drawing of children building sandcastles with buckets and shovels to color,Medio
Feria,"Carrusel, luces y globos en feria de verano para colorear solo contornos","Outline drawing of a summer fair with carousel, lights and balloons to color",Medio
AlgodónAzúcar,Puesto de algodón de azúcar con niños felices para colorear solo contornos,Outline drawing of a cotton candy stand with happy children to color,Fácil
Helados,Niños disfrutando de helados veraniegos para colorear solo contornos,Outline drawing of children enjoying summer ice creams to color,Fácil
MandalaAnimales,"Mandala con pájaros, conejos y flores para colorear solo contornos","Outline drawing of a mandala with birds, rabbits and flowers to color",Difícil
BarcoVela,Barco de vela navegando en mar con olas y gaviotas para colorear solo contornos,Outline drawing of a sailboat on the sea with waves and seagulls to color,Medio
PicnicParque,Amigos haciendo picnic en parque soleado con frutas y manta para colorear solo contornos,Outline drawing of friends having a picnic in sunny park with fruits and blanket to color,Fácil
BibliotecaExterior,"Biblioteca al aire libre con libros, sillones y plantas para colorear solo contornos","Outline drawing of an outdoor library with books, armchairs and plants to color",Medio
MandalaFrutas,"Mandala con frutas veraniegas, hojas y flores para colorear solo contornos","Outline drawing of a mandala with summer fruits, leaves and flowers to color",Difícil
PaseoBici,Persona paseando en bicicleta por sendero soleado con flores para colorear solo contornos,Outline drawing of a person riding a bike on sunny path with flowers to color,Fácil
AtardecerPlaya,Playa con palmeras y sol poniéndose sobre el mar para colorear solo contornos,Outline drawing of a beach with palm trees and sunset over the sea to color,Medio
MandalaOlas,"Mandala con olas, peces y estrellas de mar para colorear solo contornos","Outline drawing of a mandala with waves, fish and starfish to color",Difícil
Faro,Faro en costa con olas rompiendo y cielo soleado para colorear solo contornos,Outline drawing of a lighthouse on coast with crashing waves and sunny sky to color,Medio
AmigosVerano,Amigos jugando al aire libre con frisbee y pelota para colorear solo contornos,Outline drawing of friends playing outdoors with frisbee and ball to color,Fácil
CastilloVerano,Castillo sobre colina con jardines y mariposas para colorear solo contornos,Outline drawing of a castle on a hill with gardens and butterflies to color,Medio
MandalaMariposas,"Mandala con mariposas, flores y hojas veraniegas para colorear solo contornos","Outline drawing of a mandala with butterflies, flowers and summer leaves to color",Difícil
TrenVerano,Tren recorriendo colinas y campos soleados para colorear solo contornos,Outline drawing of a train traveling through sunny hills and fields to color,Medio
TerrazaVerano,"Terraza con sombrillas, plantas y sillones para colorear solo contornos","Outline drawing of a terrace with umbrellas, plants and armchairs to color",Medio
GlaciarVerano,Paisaje de montaña con glaciar y lago para colorear solo contornos,Outline drawing of a mountain landscape with glacier and lake to color,Medio
JardínVerano,"Jardín con flores, senderos y bancos para colorear solo contornos","Outline drawing of a garden with flowers, paths and benches to color",Medio
FeriaAnimales,Animales pequeños disfrutando de feria con luces y globos para colorear solo contornos,Outline drawing of small animals enjoying a fair with lights and balloons to color,Medio
MandalaCastillo,"Mandala con castillo, torres y jardines para colorear solo contornos","Outline drawing of a mandala with castle, towers and gardens to color",Difícil
PlayaAtardecer,"Playa con conchas, sombrillas y cielo anaranjado al atardecer para colorear solo contornos","Outline drawing of a beach with shells, umbrellas and orange sky at sunset to color",Medio
AmigosPicnic,Amigos compartiendo picnic en jardín con frutas y manta para colorear solo contornos,Outline drawing of friends sharing picnic in garden with fruits and blanket to color,Fácil
BarcoPesca,Pequeño barco de pesca en mar tranquilo con peces y redes para colorear solo contornos,Outline drawing of a small fishing boat on calm sea with fish and nets to color,Medio
MandalaSoles,"Mandala con soles, nubes y rayos para colorear solo contornos","Outline drawing of a mandala with suns, clouds and rays to color",Difícil
PaseoMontaña,Persona caminando por sendero montañoso con mochila y flores para colorear solo contornos,Outline drawing of a person hiking on mountain path with backpack and flowers to color,Medio
FeriaNocturna,Feria de verano de noche con luces y globos para colorear solo contornos,Outline drawing of a summer night fair with lights and balloons to color,Medio
HeladoFeria,Niños comiendo helados en feria con luces y globos para colorear solo contornos,Outline drawing of children eating ice creams at a fair with lights and balloons to color,Fácil
VueltaColeMagica,"Niños entrando al colegio con mochilas, acompañados de pequeños unicornios y arcoíris para colorear solo contornos","Outline drawing of children entering school with backpacks, accompanied by small unicorns and rainbow to color",Medio
AulaArteMagica,"Aula con niños pintando y pinceles mágicos, hadas volando alrededor para colorear solo contornos","Outline drawing of classroom with children painting with magical brushes, fairies flying around to color",Medio
BibliotecaEncantada,Niños leyendo libros mágicos en biblioteca con estanterías flotantes para colorear solo contornos,Outline drawing of children reading magical books in library with floating shelves to color,Medio
PatioJuegosFantasia,Niños jugando en patio escolar con criaturas fantásticas y arcoíris para colorear solo contornos,Outline drawing of children playing in schoolyard with fantasy creatures and rainbow to color,Medio
MandalaEscuela,"Mandala con lápices, libros, estrellas y varitas mágicas para colorear solo contornos","Outline drawing of a mandala with pencils, books, stars and magic wands to color",Difícil
LaboratorioMagico,Niños haciendo experimentos con pociones y varitas mágicas en aula de ciencia para colorear solo contornos,Outline drawing of children doing experiments with potions and magic wands in science classroom to color,Medio
JardinUnicornio,"Jardín escolar con flores, árboles y un unicornio paseando para colorear solo contornos","Outline drawing of school garden with flowers, trees and a unicorn walking to color",Medio
TallerCreativo,Niños creando arte y figuras mágicas en taller de arte para colorear solo contornos,Outline drawing of children creating art and magical figures in art workshop to color,Medio
MandalaArcoiris,"Mandala con arcoíris, nubes, estrellas y pequeños unicornios para colorear solo contornos","Outline drawing of a mandala with rainbow, clouds, stars and small unicorns to color",Medio
PaseoMagico,Niños explorando bosque cercano al colegio con hadas y criaturas mágicas para colorear solo contornos,Outline drawing of children exploring forest near school with fairies and magical creatures to color,Medio
FiestaBiblioteca,Personajes mágicos y niños leyendo juntos en biblioteca con globos y confeti para colorear solo contornos,Outline drawing of magical characters and children reading together in library with balloons and confetti to color,Fácil
PatioDeportes,Niños jugando fútbol y saltando la cuerda junto a criaturas fantásticas para colorear solo contornos,Outline drawing of children playing soccer and jumping rope with fantasy creatures to color,Fácil
MandalaMagica2,"Mandala con libros, varitas, estrellas y pociones mágicas para colorear solo contornos","Outline drawing of a mandala with books, wands, stars and magical potions to color",Medio
ArcoirisCole,Niños en patio mirando arcoíris con pequeños dragones y unicornios para colorear solo contornos,Outline drawing of children in schoolyard watching rainbow with small dragons and unicorns to color,Medio
AulaTecnologica,Niños usando tabletas y robots mágicos en aula para colorear solo contornos,Outline drawing of children using tablets and magical robots in classroom to color,Medio
MandalaBosque,"Mandala con árboles, hojas, setas y criaturas mágicas para colorear solo contornos","Outline drawing of a mandala with trees, leaves, mushrooms and magical creatures to color",Difícil
UnicornioJardínCole,Unicornio jugando con niños en jardín del colegio para colorear solo contornos,Outline drawing of a unicorn playing with children in school garden to color,Medio
FiestaColeMagica,"Fiesta en colegio con confeti, globos y personajes mágicos para colorear solo contornos","Outline drawing of a party at school with confetti, balloons and magical characters to color",Fácil
PaseoCreativo,Niños pintando murales mágicos en patios y jardines del colegio para colorear solo contornos,Outline drawing of children painting magical murals in schoolyards and gardens to color,Medio
MandalaEstrellas,"Mandala con estrellas, libros y varitas mágicas para colorear solo contornos","Outline drawing of a mandala with stars, books and magic wands to color",Medio
PatioExploracion,Niños explorando rincón secreto del colegio con criaturas mágicas para colorear solo contornos,Outline drawing of children exploring secret corner of school with magical creatures to color,Medio
JardinMagico,"Jardín con caminos brillantes, flores mágicas y pequeños unicornios para colorear solo contornos","Outline drawing of garden with sparkling paths, magical flowers and small unicorns to color",Medio
MandalaCuentos,"Mandala con libros, castillos, dragones y estrellas para colorear solo contornos","Outline drawing of a mandala with books, castles, dragons and stars to color",Difícil
ArcoirisFantasia,Niños volando sobre arcoíris con varitas y criaturas mágicas para colorear solo contornos,Outline drawing of children flying over rainbow with wands and magical creatures to color,Medio
PatioCreativo,Niños jugando y haciendo arte en patio escolar con hadas para colorear solo contornos,Outline drawing of children playing and doing art in schoolyard with fairies to color,Medio
BosqueEscuela,Bosque cercano al colegio con criaturas mágicas y niños explorando para colorear solo contornos,Outline drawing of forest near school with magical creatures and children exploring to color,Medio
MandalaUnicornio2,"Mandala con unicornios, flores y estrellas para colorear solo contornos","Outline drawing of a mandala with unicorns, flowers and stars to color",Medio
TallerHechiceria,Niños creando pócimas y hechizos mágicos en aula para colorear solo contornos,Outline drawing of children making potions and magical spells in classroom to color,Medio
FiestaMagica,Fiesta con niños y criaturas mágicas en patio escolar con globos y luces para colorear solo contornos,Outline drawing of a party with children and magical creatures in schoolyard with balloons and lights to color,Fácil
ArcoirisCole2,Niños y pequeños dragones observando arcoíris sobre el colegio para colorear solo contornos,Outline drawing of children and small dragons watching rainbow above school to color,Medio
Calabaza,Dibujo de una calabaza en un bosque con árboles de otoño para colorear solo contornos,Outline drawing of a pumpkin in a forest with autumn trees to color,Fácil
Murciélago,Dibujo de un murciélago volando sobre un castillo embrujado para colorear solo contornos,Outline drawing of a bat flying over a haunted castle to color,Medio
Fantasma,Dibujo de un fantasma saliendo de una casa embrujada para colorear solo contornos,Outline drawing of a ghost coming out of a haunted house to color,Difícil
Bruja,Dibujo de una bruja con su escoba y un caldero burbujeante para colorear solo contornos,Outline drawing of a witch with her broom and a bubbling cauldron to color,Fácil
Esqueleto,Dibujo de un esqueleto bailando en un cementerio con lápidas para colorear solo contornos,Outline drawing of a skeleton dancing in a graveyard with tombstones to color,Medio
Araña,Dibujo de una araña tejiendo su telaraña en un rincón oscuro para colorear solo contornos,Outline drawing of a spider weaving its web in a dark corner to color,Difícil
Gato,Dibujo de un gato negro sobre una valla con luna llena para colorear solo contornos,Outline drawing of a black cat on a fence with a full moon to color,Fácil
Sombrero,Dibujo de un sombrero de bruja sobre una mesa con pociones mágicas para colorear solo contornos,Outline drawing of a witch hat on a table with magical potions to color,Medio
Castillo,Dibujo de un castillo embrujado con murciélagos volando alrededor para colorear solo contornos,Outline drawing of a haunted castle with bats flying around to color,Difícil
Zombie,Dibujo de un zombie saliendo de la tierra en un cementerio para colorear solo contornos,Outline drawing of a zombie rising from the ground in a graveyard to color,Fácil
Momia,Dibujo de una momia en un pasillo de pirámide con jeroglíficos para colorear solo contornos,Outline drawing of a mummy in a pyramid hallway with hieroglyphs to color,Medio
Escoba,Dibujo de una escoba mágica volando sobre un pueblo en la noche para colorear solo contornos,Outline drawing of a magic broom flying over a village at night to color,Difícil
Caldero,Dibujo de un caldero burbujeante rodeado de libros y velas para colorear solo contornos,Outline drawing of a bubbling cauldron surrounded by books and candles to color,Fácil
Monstruo,Dibujo de un monstruo escondido detrás de árboles oscuros para colorear solo contornos,Outline drawing of a monster hiding behind dark trees to color,Medio
Luna,Dibujo de la luna llena con murciélagos volando para colorear solo contornos,Outline drawing of the full moon with bats flying to color,Difícil
Cementerio,Dibujo de un cementerio con fantasmas y lápidas antiguas para colorear solo contornos,Outline drawing of a graveyard with ghosts and old tombstones to color,Fácil
Velas,Dibujo de unas velas encendidas sobre un altar con calaveras para colorear solo contornos,Outline drawing of candles lit on an altar with skulls to color,Medio
Caramelos,Dibujo de caramelos esparcidos sobre una mesa de Halloween para colorear solo contornos,Outline drawing of candies scattered on a Halloween table to color,Difícil
Búho,Dibujo de un búho en un árbol seco con luna de fondo para colorear solo contornos,Outline drawing of an owl in a bare tree with the moon behind to color,Fácil
Calavera,Dibujo de una calavera decorada en un altar con flores para colorear solo contornos,Outline drawing of a decorated skull on an altar with flowers to color,Medio
Bosque,Dibujo de un bosque oscuro con sombras y ojos brillantes para colorear solo contornos,Outline drawing of a dark forest with shadows and glowing eyes to color,Difícil
HombreLobo,Dibujo de un hombre lobo aullando frente a la luna llena para colorear solo contornos,Outline drawing of a werewolf howling at the full moon to color,Fácil
Casa,Dibujo de una casa embrujada rodeada de árboles y murciélagos para colorear solo contornos,Outline drawing of a haunted house surrounded by trees and bats to color,Medio
Ratas,Dibujo de unas ratas corriendo entre calabazas para colorear solo contornos,Outline drawing of rats running among pumpkins to color,Difícil
Telaraña,Dibujo de una telaraña gigante entre ramas de árboles para colorear solo contornos,Outline drawing of a giant spider web between tree branches to color,Fácil
Espantapájaros,Dibujo de un espantapájaros en un campo con cuervos para colorear solo contornos,Outline drawing of a scarecrow in a field with crows to color,Medio
Bebida,Dibujo de una bebida de poción en un frasco rodeada de ingredientes mágicos para colorear solo contornos,Outline drawing of a potion drink in a bottle surrounded by magical ingredients to color,Difícil
Máscara,Dibujo de una máscara de halloween colgada en una puerta embrujada para colorear solo contornos,Outline drawing of a Halloween mask hanging on a haunted door to color,Fácil
Espíritu,Dibujo de un espíritu flotando en un bosque misterioso para colorear solo contornos,Outline drawing of a spirit floating in a mysterious forest to color,Medio
Corazón,Dibujo de un corazón oscuro rodeado de llamas mágicas para colorear solo contornos,Outline drawing of a dark heart surrounded by magical flames to color,Difícil
Sombras,Dibujo de unas sombras misteriosas entre árboles retorcidos para colorear solo contornos,Outline drawing of mysterious shadows among twisted trees to color,Fácil
Hojas,Dibujo de hojas de otoño cayendo de los árboles para colorear solo contornos,Outline drawing of autumn leaves falling from trees to color,Fácil
Bosque,Dibujo de un bosque otoñal con árboles y hojas caídas para colorear solo contornos,Outline drawing of an autumn forest with trees and fallen leaves to color,Medio
Ardilla,Dibujo de una ardilla con una bellota en un árbol para colorear solo contornos,Outline drawing of a squirrel with an acorn in a tree to color,Difícil
Zorro,Dibujo de un zorro en el bosque con hojas caídas para colorear solo contornos,Outline drawing of a fox in the forest with fallen leaves to color,Fácil
Cocina,Dibujo de una cocina rústica con estanterías y ollas para colorear solo contornos,Outline drawing of a rustic kitchen with shelves and pots to color,Medio
TazaTé,Dibujo de una taza de té cozy sobre una mesa con galletas para colorear solo contornos,Outline drawing of a cozy tea cup on a table with cookies to color,Fácil
Setas,Dibujo de setas en el bosque con hojas alrededor para colorear solo contornos,Outline drawing of mushrooms in the forest with leaves around to color,Medio
Castañas,Dibujo de castañas sobre una mesa rústica para colorear solo contornos,Outline drawing of chestnuts on a rustic table to color,Fácil
Fogata,Dibujo de una fogata en el campo con personas alrededor para colorear solo contornos,Outline drawing of a campfire in the countryside with people around to color,Difícil
Lago,Dibujo de un lago rodeado de árboles de otoño para colorear solo contornos,Outline drawing of a lake surrounded by autumn trees to color,Medio
Montaña,Dibujo de montañas con un sendero y árboles otoñales para colorear solo contornos,Outline drawing of mountains with a path and autumn trees to color,Difícil
Granja,Dibujo de una granja con animales para colorear solo contornos,Outline drawing of a farm with animals to color,Medio
Gallinas,Dibujo de gallinas picoteando en el corral para colorear solo contornos,Outline drawing of hens pecking in the coop to color,Fácil
Caballo,Dibujo de un caballo en el campo con hojas de otoño para colorear solo contornos,Outline drawing of a horse in the field with autumn leaves to color,Medio
Campo,Dibujo de un campo con cultivos y árboles para colorear solo contornos,Outline drawing of a field with crops and trees to color,Difícil
Frutas,Dibujo de frutas otoñales en una cesta para colorear solo contornos,Outline drawing of autumn fruits in a basket to color,Fácil
Verduras,Dibujo de verduras frescas en un mercado rural para colorear solo contornos,Outline drawing of fresh vegetables in a rural market to color,Medio
CasaRural,Dibujo de una casa rural con chimenea y árboles para colorear solo contornos,Outline drawing of a rural house with chimney and trees to color,Fácil
Camino,Dibujo de un camino cubierto de hojas de otoño para colorear solo contornos,Outline drawing of a path covered with autumn leaves to color,Medio
Pájaros,Dibujo de pájaros migrando en el cielo otoñal para colorear solo contornos,Outline drawing of birds migrating in the autumn sky to color,Difícil
Nido,Dibujo de un nido con huevos en un árbol para colorear solo contornos,Outline drawing of a nest with eggs in a tree to color,Fácil
Conejo,Dibujo de un conejo en el campo para colorear solo contornos,Outline drawing of a rabbit in the field to color,Medio
NiñosJugando,Dibujo de niños jugando con hojas de otoño en un parque para colorear solo contornos,Outline drawing of children playing with autumn leaves in a park to color,Fácil
Escuela,Dibujo de una escuela rural con árboles alrededor para colorear solo contornos,Outline drawing of a rural school with trees around to color,Medio
Familia,Dibujo de una madre con sus hijos caminando por el bosque para colorear solo contornos,Outline drawing of a mother with her children walking through the forest to color,Difícil
Comida,Dibujo de comida otoñal en una mesa para colorear solo contornos,Outline drawing of autumn food on a table to color,Fácil
Mercado,Dibujo de un mercado al aire libre con frutas y verduras para colorear solo contornos,Outline drawing of an outdoor market with fruits and vegetables to color,Medio
Bicicleta,Dibujo de una bicicleta apoyada en un árbol otoñal para colorear solo contornos,Outline drawing of a bicycle leaning on an autumn tree to color,Fácil
Princesa,Dibujo de una princesa con un vestido elegante en un jardín para colorear solo contornos,Outline drawing of a princess with an elegant dress in a garden to color,Difícil
Lluvia,Dibujo de lluvia cayendo sobre un paisaje otoñal para colorear solo contornos,Outline drawing of rain falling on an autumn landscape to color,Medio
ÁrbolNavidad,Dibujo de un árbol de Navidad decorado con luces y adornos para colorear solo contornos,Outline drawing of a Christmas tree decorated with lights and ornaments to color,Fácil
Regalos,Dibujo de regalos apilados junto al árbol de Navidad para colorear solo contornos,Outline drawing of presents stacked next to a Christmas tree to color,Medio
MuñecoNieve,Dibujo de un muñeco de nieve con bufanda y gorro en el jardín para colorear solo contornos,Outline drawing of a snowman with scarf and hat in the garden to color,Fácil
Santa,Dibujo de Santa Claus con su saco de regalos frente a la chimenea para colorear solo contornos,Outline drawing of Santa Claus with his sack of gifts in front of the fireplace to color,Medio
Renos,Dibujo de renos tirando del trineo de Santa sobre la nieve para colorear solo contornos,Outline drawing of reindeer pulling Santa's sleigh over the snow to color,Difícil
CasaNevada,Dibujo de una casa cubierta de nieve con luces navideñas para colorear solo contornos,Outline drawing of a snowy house with Christmas lights to color,Medio
Villancicos,Dibujo de niños cantando villancicos frente a una casa para colorear solo contornos,Outline drawing of children singing Christmas carols in front of a house to color,Fácil
Galletas,Dibujo de galletas navideñas en una bandeja para colorear solo contornos,Outline drawing of Christmas cookies on a tray to color,Fácil
Calcetines,Dibujo de calcetines navideños colgados de la chimenea para colorear solo contornos,Outline drawing of Christmas stockings hanging from the fireplace to color,Medio
CoposNieve,Dibujo de copos de nieve cayendo sobre un paisaje invernal para colorear solo contornos,Outline drawing of snowflakes falling over a winter landscape to color,Fácil
Trineo,Dibujo de un trineo sobre la nieve con regalos para colorear solo contornos,Outline drawing of a sled on the snow with presents to color,Medio
Supermercado,Dibujo de personas comprando regalos y comida navideña en un supermercado para colorear solo contornos,Outline drawing of people shopping for Christmas gifts and food in a supermarket to color,Difícil
PajarosInvierno,Dibujo de pájaros en ramas con nieve para colorear solo contornos,Outline drawing of birds on snowy branches to color,Fácil
NieveJugando,Dibujo de niños jugando en la nieve con trineos y bolas de nieve para colorear solo contornos,Outline drawing of children playing in the snow with sleds and snowballs to color,Medio
MuñecaNavidad,Dibujo de una muñeca vestida con ropa navideña para colorear solo contornos,Outline drawing of a doll wearing Christmas clothes to color,Fácil
CoronaNavidad,Dibujo de una corona navideña colgada en la puerta para colorear solo contornos,Outline drawing of a Christmas wreath hanging on the door to color,Medio
Ciervo,Dibujo de un ciervo en el bosque nevado para colorear solo contornos,Outline drawing of a deer in the snowy forest to color,Medio
ChocolateCaliente,Dibujo de una taza de chocolate caliente con malvaviscos para colorear solo contornos,Outline drawing of a cup of hot chocolate with marshmallows to color,Fácil
BastonDulce,Dibujo de bastones de caramelo navideños en un frasco para colorear solo contornos,Outline drawing of candy canes in a jar to color,Fácil
CartaSanta,Dibujo de un niño escribiendo su carta a Santa Claus para colorear solo contornos,Outline drawing of a child writing a letter to Santa Claus to color,Medio
NocheBuena,Dibujo de una familia reunida cenando en Nochebuena para colorear solo contornos,Outline drawing of a family gathered for Christmas Eve dinner to color,Difícil
Chimenea,Dibujo de una chimenea encendida con adornos y regalos alrededor para colorear solo contornos,Outline drawing of a fireplace with decorations and gifts around to color,Medio
VillancicoPareja,Dibujo de una pareja cantando villancicos frente a un árbol para colorear solo contornos,Outline drawing of a couple singing carols in front of a Christmas tree to color,Fácil
PapáInvierno,Dibujo de un hombre abrigado caminando por la nieve con bufanda y gorro para colorear solo contornos,Outline drawing of a man walking through the snow wearing scarf and hat to color,Medio
RegalosParque,Dibujo de niños entregando regalos en el parque para colorear solo contornos,Outline drawing of children giving gifts in the park to color,Fácil
FinAño,Dibujo de una fiesta de fin de año con confeti y globos para colorear solo contornos,Outline drawing of a New Year's Eve party with confetti and balloons to color,Difícil
RelojMedianoche,Dibujo de un reloj marcando la medianoche con fuegos artificiales alrededor para colorear solo contornos,Outline drawing of a clock striking midnight with fireworks around to color,Difícil
Brindis,Dibujo de personas brindando con copas para celebrar el año nuevo para colorear solo contornos,Outline drawing of people toasting with glasses to celebrate the New Year to color,Medio
FuegosArtificiales,Dibujo de fuegos artificiales en el cielo nocturno para colorear solo contornos,Outline drawing of fireworks in the night sky to color,Fácil
Calendario,Dibujo de un calendario de diciembre con fechas señaladas de fiestas para colorear solo contornos,Outline drawing of a December calendar with holiday dates marked to color,Medio